user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
TARA_009_SRF_0.22-1.6C1136	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA868;s__UBA868 sp002477475	GCA_002477475.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA868;s__UBA868 sp002477475	99.64	0.9	GCA_002477475.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA868;s__UBA868 sp002477475	99.64	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA868;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002713825.1, s__UBA868 sp002713825, 95.0, 90.47, 0.74; GCA_002694065.1, s__UBA868 sp002694065, 95.0, 90.33, 0.75; GCA_002346525.1, s__UBA868 sp002346525, 95.0, 85.29, 0.65; GCA_002171735.1, s__UBA868 sp002171735, 95.0, 78.36, 0.32; GCA_004212795.1, s__UBA868 sp002295285, 95.0, 78.35, 0.07; GCA_003529705.1, s__UBA868 sp003529705, 95.0, 77.97, 0.24; GCA_002327725.1, s__UBA868 sp002327725, 95.0, 77.68, 0.28	95.65	11	N/A	N/A
TARA_009_SRF_0.22-1.6C12509	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__UBA1172;s__UBA1172 sp002457135	GCA_002457135.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__UBA1172;s__UBA1172 sp002457135	99.62	0.98	GCA_002457135.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__UBA1172;s__UBA1172 sp002457135	99.62	0.98	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__UBA1172;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.17	11	N/A	N/A
TARA_009_SRF_0.22-1.6C14027	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__GCA-2691145;s__GCA-2691145 sp002691145	GCA_002691145.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__GCA-2691145;s__GCA-2691145 sp002691145	99.69	0.97	GCA_002691145.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__GCA-2691145;s__GCA-2691145 sp002691145	99.69	0.97	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.54	11	N/A	N/A
TARA_009_SRF_0.22-1.6C1567	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__MED-G17;s__MED-G17 sp002457675	GCA_002457675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__MED-G17;s__MED-G17 sp002457675	99.88	0.95	GCA_002457675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__MED-G17;s__MED-G17 sp002457675	99.88	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.35	11	N/A	N/A
TARA_009_SRF_0.22-1.6C1687	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002699745	GCA_002699745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002699745	98.86	0.85	GCA_002699745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002699745	98.86	0.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002713405.1, s__MED-G20 sp002713405, 95.0, 89.77, 0.77; GCA_002457645.1, s__MED-G20 sp002457645, 95.0, 80.67, 0.43; GCA_002686655.1, s__MED-G20 sp002686655, 95.0, 78.32, 0.46; GCA_002691605.1, s__MED-G20 sp002691605, 95.0, 78.14, 0.34	88.15	11	N/A	N/A
TARA_009_SRF_0.22-1.6C1730	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2716345;s__GCA-2716345 sp002716345	GCA_002716345.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2716345;s__GCA-2716345 sp002716345	95.43	0.87	GCA_002716345.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2716345;s__GCA-2716345 sp002716345	95.43	0.87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.65	11	N/A	N/A
TARA_009_SRF_0.22-1.6C2563	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__Micropelagos;s__Micropelagos sp002450335	GCA_002450335.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__Micropelagos;s__Micropelagos sp002450335	99.88	0.93	GCA_002450335.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__Micropelagos;s__Micropelagos sp002450335	99.88	0.93	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__Micropelagos;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003535555.1, s__Micropelagos sp003535555, 95.0, 91.2, 0.83; GCA_002700915.1, s__Micropelagos sp002700915, 95.0, 90.01, 0.89; GCA_002683515.1, s__Micropelagos sp002683515, 95.0, 89.12, 0.75; GCF_000469155.1, s__Micropelagos thuwalensis, 95.0, 83.87, 0.86; GCF_000293845.2, s__Micropelagos sp000293845, 95.0, 82.75, 0.8	95.89	11	N/A	N/A
TARA_009_SRF_0.22-1.6C268	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002477465	GCA_002477465.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002477465	99.01	0.94	GCA_002477465.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002477465	99.01	0.94	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002684935.1, s__UBA9145 sp002684935, 95.0, 91.37, 0.79; GCA_002727755.1, s__UBA9145 sp002727755, 95.0, 77.19, 0.02; GCA_002691885.1, s__UBA9145 sp002691885, 95.0, 77.19, 0.12; GCA_002729315.1, s__UBA9145 sp002729315, 95.0, 77.09, 0.11; GCA_002715615.1, s__UBA9145 sp002715615, 95.0, 77.01, 0.06; GCA_003514305.1, s__UBA9145 sp003514305, 95.0, 76.96, 0.08; GCA_002719575.1, s__UBA9145 sp002719575, 95.0, 76.82, 0.07; GCA_003483155.1, s__UBA9145 sp003483155, 95.0, 76.63, 0.07; GCA_002457215.1, s__UBA9145 sp002457215, 95.0, 76.56, 0.05; GCA_002401885.1, s__UBA9145 sp002401885, 95.0, 76.27, 0.05; GCA_002694855.1, s__UBA9145 sp002694855, 95.0, 76.27, 0.04; GCA_003451715.1, s__UBA9145 sp003451715, 95.0, 76.24, 0.04; GCA_002402175.1, s__UBA9145 sp002402175, 95.0, 76.2, 0.03; GCA_002723195.1, s__UBA9145 sp002723195, 95.0, 76.16, 0.03; GCA_002172295.1, s__UBA9145 sp002172295, 95.0, 76.14, 0.03; GCA_002726595.1, s__UBA9145 sp002726595, 95.0, 76.1, 0.03; GCA_002377605.1, s__UBA9145 sp002377605, 95.0, 76.01, 0.04; GCA_002714195.1, s__UBA9145 sp002714195, 95.0, 75.99, 0.03; GCA_002731775.1, s__UBA9145 sp002731775, 95.0, 75.92, 0.05; GCA_002730035.1, s__UBA9145 sp002730035, 95.0, 75.86, 0.07; GCA_002712055.1, s__UBA9145 sp002712055, 95.0, 75.56, 0.02	87.8	11	N/A	N/A
TARA_009_SRF_0.22-1.6C2704	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002450255	GCA_002450255.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002450255	99.75	0.91	GCA_002450255.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002450255	99.75	0.91	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002725095.1, s__UBA4421 sp002725095, 95.0, 76.79, 0.05; GCA_002727775.1, s__UBA4421 sp002727775, 95.0, 76.74, 0.01; GCA_002726925.1, s__UBA4421 sp002726925, 95.0, 76.71, 0.04; GCA_002389675.1, s__UBA4421 sp002389675, 95.0, 76.3, 0.02; GCA_002704225.1, s__UBA4421 sp002704225, 95.0, 76.28, 0.04; GCA_002390555.1, s__UBA4421 sp002390555, 95.0, 76.26, 0.03; GCA_002684495.1, s__UBA4421 sp002684495, 95.0, 76.26, 0.04; GCA_004213835.1, s__UBA4421 sp004213835, 95.0, 76.15, 0.04; GCA_002690405.1, s__UBA4421 sp002690405, 95.0, 76.13, 0.03; GCA_002348825.1, s__UBA4421 sp002348825, 95.0, 76.09, 0.04; GCA_002170355.2, s__UBA4421 sp002170355, 95.0, 76.05, 0.04; GCA_002704325.1, s__UBA4421 sp002704325, 95.0, 75.96, 0.04; GCA_003230835.1, s__UBA4421 sp003230835, 95.0, 75.89, 0.02; GCA_002731575.1, s__UBA4421 sp002731575, 95.0, 75.8, 0.05; GCA_002336645.1, s__UBA4421 sp002336645, 95.0, 75.66, 0.03; GCA_002470275.1, s__UBA4421 sp002470275, 95.0, 75.42, 0.04	96.33	11	N/A	N/A
TARA_009_SRF_0.22-1.6C2785	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.96	0.99	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.96	0.99	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.81	11	N/A	N/A
TARA_009_SRF_0.22-1.6C326	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.63	0.88	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.63	0.88	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002323515.1, s__UBA1275 sp002323515, 95.0, 93.43, 0.8; GCA_002730655.1, s__UBA1275 sp002730655, 95.0, 81.51, 0.51; GCA_002720745.1, s__UBA1275 sp002720745, 95.0, 80.9, 0.68; GCA_002348545.1, s__UBA1275 sp002348545, 95.0, 80.87, 0.57	71.07	11	N/A	N/A
TARA_009_SRF_0.22-1.6C3427	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__TMED27;s__TMED27 sp002167715	GCA_002167715.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__TMED27;s__TMED27 sp002167715	99.56	0.97	GCA_002167715.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__TMED27;s__TMED27 sp002167715	99.56	0.97	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__TMED27;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002687495.1, s__TMED27 sp002687495, 95.0, 77.59, 0.17	96.96	11	N/A	N/A
TARA_009_SRF_0.22-1.6C4063	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002470275	GCA_002470275.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002470275	99.72	0.98	GCA_002470275.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002470275	99.72	0.98	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002727775.1, s__UBA4421 sp002727775, 95.0, 77.1, 0.02; GCA_004213835.1, s__UBA4421 sp004213835, 95.0, 76.69, 0.07; GCA_002704225.1, s__UBA4421 sp002704225, 95.0, 76.67, 0.05; GCA_002704325.1, s__UBA4421 sp002704325, 95.0, 76.67, 0.04; GCA_002684495.1, s__UBA4421 sp002684495, 95.0, 76.64, 0.04; GCA_002726925.1, s__UBA4421 sp002726925, 95.0, 76.44, 0.06; GCA_002348825.1, s__UBA4421 sp002348825, 95.0, 76.44, 0.04; GCA_002389675.1, s__UBA4421 sp002389675, 95.0, 76.37, 0.02; GCA_002690405.1, s__UBA4421 sp002690405, 95.0, 76.35, 0.04; GCA_002390555.1, s__UBA4421 sp002390555, 95.0, 76.3, 0.04; GCA_003230835.1, s__UBA4421 sp003230835, 95.0, 76.3, 0.02; GCA_002725095.1, s__UBA4421 sp002725095, 95.0, 76.3, 0.04; GCA_002170355.2, s__UBA4421 sp002170355, 95.0, 76.09, 0.03; GCA_002336645.1, s__UBA4421 sp002336645, 95.0, 76.05, 0.03; GCA_002731575.1, s__UBA4421 sp002731575, 95.0, 76.0, 0.08; GCA_002450255.1, s__UBA4421 sp002450255, 95.0, 75.74, 0.03	96.9	11	N/A	N/A
TARA_009_SRF_0.22-1.6C4953	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp002171475	GCA_002171475.2	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp002171475	99.52	0.91	GCA_002171475.2	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp002171475	99.52	0.91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002728075.1, s__TMED96 sp002728075, 95.0, 94.87, 0.78	88.29	11	N/A	N/A
